time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-04-28 09:30:00-04:00,Trend,GLD,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-28 09:30:00-04:00,Trend,GLD,sell,market,fill,1,gtc,0.0,1,stock,175.9199981689453,200,0.0
2022-06-02 09:30:00-04:00,Trend,GLD,buy,market,new,1,day,0.0,1,stock,,,
2022-06-02 09:30:00-04:00,Trend,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2022-06-02 09:30:00-04:00,Trend,GLD,buy,market,fill,1,gtc,0.0,1,stock,173.66000366210938,200,0.0
2022-06-02 09:30:00-04:00,Trend,GLD,buy,market,fill,1,day,0.0,1,stock,173.66000366210938,200,0.0
2022-06-16 09:30:00-04:00,Trend,GLD,sell,market,new,1,day,0.0,1,stock,,,
2022-06-16 09:30:00-04:00,Trend,GLD,sell,market,new,1,gtc,0.0,1,stock,,,
2022-06-16 09:30:00-04:00,Trend,GLD,sell,market,fill,1,day,0.0,1,stock,170.55999755859375,200,0.0
2022-06-16 09:30:00-04:00,Trend,GLD,sell,market,fill,1,gtc,0.0,1,stock,170.55999755859375,200,0.0
2022-08-03 09:30:00-04:00,Trend,GLD,buy,market,new,1,day,0.0,1,stock,,,
2022-08-03 09:30:00-04:00,Trend,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2022-08-03 09:30:00-04:00,Trend,GLD,buy,market,fill,1,gtc,0.0,1,stock,164.77000427246094,200,0.0
2022-08-03 09:30:00-04:00,Trend,GLD,buy,market,fill,1,day,0.0,1,stock,164.77000427246094,200,0.0
2022-08-24 09:30:00-04:00,Trend,GLD,sell,market,new,1,day,0.0,1,stock,,,
2022-08-24 09:30:00-04:00,Trend,GLD,sell,market,new,1,gtc,0.0,1,stock,,,
2022-08-24 09:30:00-04:00,Trend,GLD,sell,market,fill,1,day,0.0,1,stock,162.44000244140625,200,0.0
2022-08-24 09:30:00-04:00,Trend,GLD,sell,market,fill,1,gtc,0.0,1,stock,162.44000244140625,200,0.0
2022-10-10 09:30:00-04:00,Trend,GLD,buy,market,new,1,day,0.0,1,stock,,,
2022-10-10 09:30:00-04:00,Trend,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2022-10-10 09:30:00-04:00,Trend,GLD,buy,market,fill,1,day,0.0,1,stock,155.94000244140625,200,0.0
2022-10-10 09:30:00-04:00,Trend,GLD,buy,market,fill,1,gtc,0.0,1,stock,155.94000244140625,200,0.0
2022-10-20 09:30:00-04:00,Trend,GLD,sell,market,new,1,day,0.0,1,stock,,,
2022-10-20 09:30:00-04:00,Trend,GLD,sell,market,new,1,gtc,0.0,1,stock,,,
2022-10-20 09:30:00-04:00,Trend,GLD,sell,market,fill,1,gtc,0.0,1,stock,151.9199981689453,200,0.0
2022-10-20 09:30:00-04:00,Trend,GLD,sell,market,fill,1,day,0.0,1,stock,151.9199981689453,200,0.0
2022-11-09 09:30:00-05:00,Trend,GLD,buy,market,new,1,day,0.0,1,stock,,,
2022-11-09 09:30:00-05:00,Trend,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2022-11-09 09:30:00-05:00,Trend,GLD,buy,market,fill,1,day,0.0,1,stock,159.36000061035156,200,0.0
2022-11-09 09:30:00-05:00,Trend,GLD,buy,market,fill,1,gtc,0.0,1,stock,159.36000061035156,200,0.0
2023-02-08 09:30:00-05:00,Trend,GLD,sell,market,new,1,day,0.0,1,stock,,,
2023-02-08 09:30:00-05:00,Trend,GLD,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-08 09:30:00-05:00,Trend,GLD,sell,market,fill,1,day,0.0,1,stock,174.94000244140625,200,0.0
2023-02-08 09:30:00-05:00,Trend,GLD,sell,market,fill,1,gtc,0.0,1,stock,174.94000244140625,200,0.0
2023-03-14 09:30:00-04:00,Trend,GLD,buy,market,new,1,day,0.0,1,stock,,,
2023-03-14 09:30:00-04:00,Trend,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-14 09:30:00-04:00,Trend,GLD,buy,market,fill,1,gtc,0.0,1,stock,177.35000610351562,200,0.0
2023-03-14 09:30:00-04:00,Trend,GLD,buy,market,fill,1,day,0.0,1,stock,177.35000610351562,200,0.0
